event,local,date,valor_inscricao,link
"5ª Corrida e Caminhada da Virada Acorde 31, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/5-corrida-e-caminhada-da-virada-acorde
"3ª Corrida de Natal Apiuna 2025 21, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/3-corrida-de-natal-apiuna-2025
"1ª Night Run Natal Jaraguá 20, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/1-night-run-natal-jaragua-do-sul
"Corrida da Virada Floripa 2025 31, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/corrida-da-virada-floripa-2025
"Circuito de Corridas Unimed - Lages 14, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/circuito-de-corridas-unimed-lages-2025
"Figueira Run 2025 14, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/figueira-run-2025
"Circuito Santander Run Blumenau 2025 14, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/circuito-santander-run-blumenau-2025
"2ª Alles Park Night Run 2025 13, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/2-alles-park-night-run-2025
"Ponta do Papagaio Beach Run - 6ª Edição 13, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/ponta-do-papagaio-beach-run-6a-edicao
"Coop Run 2025 13, Dez 2025",,2025-09-25,,https://www.catarinarun.com.br/evento/coop-run-2025
"Mais de 1,3 mil atletas já garantiram a participação na Meia de Joinville",,2025-09-03,,https://www.mulheresnapista.com.br/mais-de-13-mil-atletas-ja-garantiram-a-participacao-na-meia-de-joinville/
Últimos dias de inscrição para a Corrida Halloween Joinville,,2019-10-17,,https://www.mulheresnapista.com.br/ultimos-dias-de-inscricao-para-a-corrida-halloween-joinville/
Meia Maratona de Pomerode ultrapassa as 3.500 inscrições,,00 inscri,,https://jornaldepomerode.com.br/novo//noticias/meia-maratona-de-pomerode-ultrapassa-as-3-500-inscricoes-68971
"Faltando 30 dias para prova, Corrida dos 101 Anos 62º BI tem quase mil inscritos",,2025-09-30,,https://www.mulheresnapista.com.br/%ef%bb%bffaltando-30-dias-para-prova-corrida-dos-101-anos-62o-bi-tem-quase-mil-inscritos/
"Jornalista, corredor, youtuber e “pasteleiro” Marcel Agarie fala de corridas e do Mania de Corrida",,,,https://www.mulheresnapista.com.br/jornalista-corredor-youtuber-e-pasteleiro-marcel-agarie-fala-de-corridas-e-do-mania-de-corrida/
contato@catarinarun.com.br,,,,mailto:contato@catarinarun.com.br
CORRIDAS,,2025-09-25,,https://www.correbrasil.com.br/calendario-corridas
CLIQUE PARA INFORMAÇÕES,NOVA TRENTO,2025-11-11,"R$ 380,00",https://vemcorrer.com/evento/302-mons-ultra-trail-2025
